Variable,Slope,R-squared,P-value,Statistical Significance (Temp)
GMSL_mm,110.25720181813904,0.8146395057995074,9.253292673312572e-09,Yes
AntarcticaMass_Gt,-4080.882526429545,0.7684077337154382,8.803744561357915e-08,Yes
GreenlandMass_Gt,-7674.604245516741,0.7325830555748474,3.788834911175531e-07,Yes
